Item,Functional Area,req,ADHA Priority,Notes to Vendor,rating,resp,match
47,Communication and Marketing,Ability for users to rate learning products,S,ADHA would like the ability to turn this feature on or off.,S,"Administrators can manually create and send emails to specific groups by selecting users from a list or using a variety of search options to reach a specific target audience such as profile information, dates accessed, course or system role, etc.",0.627906976744186
48,Communication and Marketing,Ability for users to review learning products,S,"ADHA would like the ability to turn this feature on or off and remove any ratings that might be inappropriate (e.g., if comments are allowed).",S,"Administrators can manually create and send emails to specific groups by selecting users from a list or using a variety of search options to reach a specific target audience such as profile information, dates accessed, course or system role, etc.",0.6136363636363636
58,Assessment and Evaluation,Ability for assessment (test) and survey be part of the same evaluation so participants don't have to take separate evaluations (one for test and one for survey,S,The ability to combine assessments and surveys would avoid particpant to have to take two separte forms. Test questions would need to be scored.,S,,0.4377104377104377
59,Assessment and Evaluation,"Ability to publish an evaluation (survey) as a stand alone item (i.e., not associated with an online course)",S,,S,"Evaluations can exist within the context of a course/activity. CourseStage LMS evaluation authoring tool provides the ability to create numerous questions types: check boxes, date, dropdown box, essay box, label, numeric, radio buttons, scale (Ex: 1 to 5), text box, Yes/No.",0.6847826086956522
61,Assessment and Evaluation,Ability to re-use a single evaluation (not copies) across multiple courses/activities,S,"The goal here is to be able to use a single, standard evaluation across many courses so that it is possible to report on standard evaluation items in the aggregate. It should also be possible, however, to report on evaluation results for each individual course for which it is used. Ideally, it would also be possible to add some variable questions depending on the specific course. Please describe how your system might meet these goals.",S,"Learning paths involving multiple courses/activities with course prerequisites can be configured and enforced. Within a single course, course activities can be released to learners based on defined conditions, such as quiz score, previous activity completion, or time. ",0.6666666666666666
62,Assessment and Evaluation,Ability to easily insert graphics into an assessment (test) question,S,,S,"Graphics can be included as part of question text, in answer choices,  response feedback or overall assessment feedback using the WYSIWYG editor. Respondents may insert their own graphics for applicable question types such as essay where they have access to a WYSIWYG editor to compose their response.
",0.9457364341085271
63,Assessment and Evaluation,Ability to easily insert graphics into an assessment (test) answer,S,,S,"Graphics can be included as part of question text, possible answers,  response feedback or overall assessment feedback using the WYSIWYG editor. Respondents may insert their own graphics for applicable question types such as essay where they have access to a WYSIWYG editor to compose their response.",0.944
65,Assessment and Evaluation,Ability to apply branching or skip logic based on the answer to a question in an assessment (test),S,This might come into play with the design of the competency-based self-assessment.,SS,"Using the add-on performance improvement module (not included in this proposal), components of content can be assigned to users based on their score on a single question, or a set of selected questions. ",1.0
69,Assessment and Evaluation,Ability to score test in real time and send end user results,S,,S,"The user’s activity logs – courses, activities, and other pages viewed by the user, with timestamps and a histogram to show you the most active days, for the user’s entire history in the system.",0.5688073394495413
70,Assessment and Evaluation,Ability to insert page breaks where desired in assessments (tests),S,,S,"Graphics can be included as part of question text, possible answers,  response feedback or overall assessment feedback using the WYSIWYG editor. Respondents may insert their own graphics for applicable question types such as essay where they have access to a WYSIWYG editor to compose their response.",0.704
71,Assessment and Evaluation,Ability to insert page breaks where desired in evaluations (surveys),S,,S,,0.5972222222222222
72,Assessment and Evaluation,Item analysis to see how assessment (test) questions perform,S,,S,CourseStage LMS has detailed item analysis reports at both the assessment and sitewide level. ,0.8285714285714286
75,Assessment and Evaluation,"Ability for end users to bookmark their place in an assessment (i.e., allow users to leave a test and return later to complete it)",S,,S,,0.5258620689655172
77,Internationalization and Personalization,Ability to provide closed captioning or third party integrations for closed captioning.,S,"ADHA wants to be ADA compliant and providing resources like closed captioning are important to us. If not standard, please discuss potential integrations or solutions.",S,Course duration can be configured to a set number of days that is either relative to the course purchase date or first access. Any enrollment duration can be overridden by manually enrolling the user in the course (users can be enrolled by mutliple methods in one course). ,0.5074626865671642
78,Internationalization and Personalization,Ability to deploy the system in multiple languages,S,"Please indicate the languages other than English, if any, in which the platform has been deployed and indicate whether the end-user interface, the administrator interface, or both have been deployed in each language. If applicable, please indicate process to ensure accuracy of translation.",S,"Administrators can manually create and send emails to specific groups by selecting users from a list or using a variety of search options to reach a specific target audience such as profile information, dates accessed, course or system role, etc.",0.6021505376344086
81,Tracking and Reporting,"Ability to track where users are in a course, what materials they have viewed and downloaded, including PDFs, video, audio, and Webinar attendance",S,,S,Full live logs are available in the LMS and can be broken down per user. ,0.47577092511013214
82,Tracking and Reporting,Ability for an ADHA administrator to configure ad hoc reports based on criteria determined by ADHA,S,,S,"A number of base reports enable administrators to combine multiple filters to generate ad hoc reports. Favorite reports can be saved. In addition to the ad hoc functionality, many reports can be configured to be sent to an email address, FTP site, or SFTP site on a scheduled basis. There are dozens of standard reports included in CourseStage, spanning from high level system usage data to granular reporting on single quiz items.",0.6973180076628352
85,Tracking and Reporting,"Ability to compare pre-test and post-test data by individual, group, or across all users",S,,S,"Our pre-post test reports is one of our strong differentiators. The Pre-post comparison and and reliability report can be evaluated by individual, group, or across all users. ",1.0
88,Support and Service,Phone-based support for ADHA staff,S,Please comment on hours of operation and typical response times. Also indicate if additional fees apply.,S,Web Courseworks holds an annual virtual user group meeting for clients to showcase their uses of the LMS and share ideas. ,0.6101694915254238
89,Support and Service,E-mail based support for end users,S,,S,End-user training is going to be specific to each client set up. The LMS has tools such as user tours to create support guides for your end users. ,0.5797101449275363
90,Support and Service,Online knowledge base for ADHA staff,S,,S,End-user training is going to be specific to each client set up. The LMS has tools such as user tours to create support guides for your end users. ,0.7887323943661971
91,Support and Service,Online knowledge base for end users,S,,S,End-user training is going to be specific to each client set up. The LMS has tools such as user tours to create support guides for your end users. ,1.0
94,Technical Topics and Integration,"Ability to sub-license the LMS to other groups (e.g. a state affiliate) to allow them to have a portal of their own, run by the nation ADHA with some ability to create their own content.",S,"ADHA is very interested in this model, it is marked as a 'should have' as it's not something we're going to institute day one, but would be interested in pursuing in the next 2 years. ",S,,0.4069767441860465
96,Technical Topics and Integration,Ability to host/support streaming media,S,Please indicate how you handle streaming video and audio.,SS,"While CourseStage has the ability to host large media files, most clients choose to host large videos (larger than 750 MB) elsewhere to maximize the speed of the LMS. 

20gb of storage is included in the base setup of the LMS. If a very large amount of video needs to be hosted and delivered via the LMS, we can configure streaming via Amazon's Cloudfront distribution network as an add-on service. This service has been configured for other clients.",0.5454545454545454
98,Technical Topics and Integration,Ability to receive registration and enrollment data from ADHA's custom e-commerce system after the completion of an order and auto-create the appropriate accounts and enrollments,S,ADHA uses iMIS for eCommerce along with Great Plaines for payment processing. Please comment on how you have achieved integration with 3rd-party e-commerce systems in the past.,S,Questions can be categorized and tagged to facilitate linking to specific learning objectives. They can then be available system-wide or course-wide and can be pulled from multiple question banks into an assessment.,0.427536231884058
100,Technical Topics and Integration,Ability to support single sign-on with a Webinar platform,S,"ADHA currently uses Zoom. Please indicate whether you have done SSO integration with Zoom before. If you do not support a Zoom integration (or plan to in the next year), please list the webinar platforms you do integrate with.",S,"We have experience with client preferred third-party webinar systems including GoToMeeting, WebEx, Adobe Connect and custom webinar solutions. The functionality provides:
• SSO
• Role assignment (e.g., give a user Presenter role in CourseStage and they will be Presenter in the GoToMeeting session)
• Single entry: administrator can create a GoToMeeting session from within CourseStage, including setting the start and end time, public/private status, etc. - so you don't have to separately log into GoToMeeting to create the meeting, then enter a meeting ID into CourseStage.
• CourseStage groups functionality: the GoToMeeting session can be only accessible to users who belong to a designated group within the CourseStage course (helpful if you are running a university-style course where users move through a single course in multiple sessions)",1.0
101,Technical Topics and Integration,"Ability to support deeper integration with Zoom (e.g., to use attendance data from the Webinar to mark the corresponding module or course complete in the platform)",S,Please describe the types of beyond-SSO integration you have done with Zoom or other Webinar platforms.,S,,0.488
103,Technical Topics and Integration,Ability to support federated search,S,"To provide users with as full a view as possible of its offerings and products, ADHA would like for users to see this platform's content when searching in the main site. Please comment on your ability to support this goal.",S,"We have experience with client preferred third-party webinar systems including GoToMeeting, WebEx, Adobe Connect and custom webinar solutions. The functionality provides:
• SSO
• Role assignment (e.g., give a user Presenter role in CourseStage and they will be Presenter in the GoToMeeting session)
• Single entry: administrator can create a GoToMeeting session from within CourseStage, including setting the start and end time, public/private status, etc. - so you don't have to separately log into GoToMeeting to create the meeting, then enter a meeting ID into CourseStage.
• CourseStage groups functionality: the GoToMeeting session can be only accessible to users who belong to a designated group within the CourseStage course (helpful if you are running a university-style course where users move through a single course in multiple sessions)",0.5434782608695652
106,Technical Topics and Integration,Ability to add custom database fields,S,"Please comment on how custom fields work in your system and whether they are available in reports and other outputs from the platform (e.g., on certificates).",S,"Courses can be hidden, which will hide them from the catalog. ",0.6027397260273972
107,Technical Topics and Integration,Separate app-based access to LMS,S,"Do you provide access to the LMS through independent apps (Apple, Android). If an additional cost is associated please detail for each platform. ",S,An account manager is assigned to every CourseStage client.,0.38596491228070173
113,Content Development,"Ability to have external users (e.g., editorial board) use back-end system to create the educational content",S,Please describe the process for having ADHA create user access to course creation and if there are any limits.,S,,0.48314606741573035
124,Content Development,Can the LMS host links to other LMS providers and share completion information back via and API?,S,"ADHA intends to become a clearing house of dental hygiene CE by utilizing corporate partners with LMS portals and allowing users to search this content in conjunction with ADHA's content and if selected, corporate LMSs would report back completion and registration via an API. These would all be partnerships and agreed upon with other LMSs.",S,"Administrators have access to view, download, and print any user’s certificate from individual transcripts as well as the site transcript.",0.4020100502512563
